Code,Meaning,Possible Causes,Fix Suggestion,Urgency
P0180,Knock Sensor Circuit High Input,"Sensor fault, wiring issue",Check wiring and connectors,Low
P0181,Turbocharger Underboost,"Electrical short, connector corrosion",Replace worn-out part,Medium
P0182,Exhaust Temperature Sensor Malfunction,"Mechanical wear, dirty filter",Clean or replace filter,Medium
P0183,ABS System Malfunction,"Electrical short, connector corrosion",Replace faulty sensor,High
P0184,Turbocharger Overboost,"Calibration error, software fault",Recalibrate system,High
P0185,Alternator Overcharging,"Calibration error, software fault",Replace worn-out part,High
P0186,Glow Plug Malfunction,"Vacuum leak, fuel system fault",Recalibrate system,Low
P0187,Crankshaft Position Sensor Malfunction,"Sensor fault, wiring issue",Replace worn-out part,Medium
P0188,Camshaft Position Sensor Malfunction,"Calibration error, software fault",Check wiring and connectors,Low
P0189,EGR Flow Malfunction,"Mechanical wear, dirty filter",Clean or replace filter,Medium
P0190,Knock Sensor Circuit High Input,"Vacuum leak, fuel system fault",Clean or replace filter,High
P0191,Exhaust Temperature Sensor Malfunction,"Vacuum leak, fuel system fault",Replace worn-out part,High
P0192,Turbocharger Underboost,"Mechanical wear, dirty filter",Clean or replace filter,High
P0193,Fuel System Too Rich,"Electrical short, connector corrosion",Check wiring and connectors,Medium
P0194,Throttle Position Sensor Malfunction,"Mechanical wear, dirty filter",Clean or replace filter,High
P0195,Turbocharger Overboost,"Calibration error, software fault",Recalibrate system,Medium
P0196,Battery Voltage Too High,"Calibration error, software fault",Replace faulty sensor,Medium
P0197,Camshaft Position Sensor Malfunction,"Electrical short, connector corrosion",Replace worn-out part,Medium
P0198,Crankshaft Position Sensor Malfunction,"Vacuum leak, fuel system fault",Recalibrate system,Medium
P0199,Transmission Fluid Temperature High,"Vacuum leak, fuel system fault",Replace worn-out part,Low
P0420,Catalyst System Efficiency Below Threshold,Faulty catalytic converter or oxygen sensor,Replace catalytic converter or O2 sensor,Medium
